"","HL_SHORE_L","HL_FRAC_L","Cell_ID"
"995",0,0,21582
"996",512.38,89.3854,1984
"997",81.37,52.1751,9124
"998",0,0,22355
"999",0,0,20573
"1000",0,0,19514
"1001",0,0,20928
"1002",866.99,75.5036,10122
"1003",0,0,14405
"1004",0,0,8776
"1005",397.2,82.0967,4268
"1006",0,0,14911
"1007",0,0,8894
"1008",0,0,14885
"1009",0,0,16308
"1010",0,0,15704
"1011",0,0,19516
"1012",0,0,22123
"1013",0,0,11350
"1014",0,0,12558
"1015",65.52,27.2314,14217
"1016",0,0,8260
"1017",0,0,19512
"1018",0,0,20466
"1019",0,0,16724
"1020",0,0,13173
"1021",44.1,65.4123,15364
"1022",0,0,23562
"1023",0,0,2887
"1024",0,0,14653
"1025",0,0,23156
"1026",160.44,99.0259,14284
"1027",0,0,1703
"1028",0,0,12430
"1029",0,0,11200
"1030",0,0,2136
"1031",0,0,19380
"1032",0,0,19049
"1033",0,0,18580
"1034",0,0,17942
"1035",0,0,22625
"1036",0,0,11573
"1037",0,0,11337
"1038",0,0,20521
"1039",0,0,8171
"1040",0,0,8418
"1041",0,0,20729
"1042",130.55,72.5392,14315
"1043",0,0,2649
"1044",163.48,76.9941,13963
"1045",0,0,20536
"1046",0,0,3576
"1047",52.33,69.3747,19623
"1048",0,0,22402
"1049",0,0,16043
"1050",0,0,18972
"1051",0,0,20220
"1052",1482.56,69.8804,861
"1053",0,0,21328
"1054",277.38,53.1848,6584
"1055",0,0,18664
"1056",0,0,11727
"1057",0,0,15131
"1058",0,0,8677
"1059",0,0,15662
"1060",0,0,20715
"1061",0,0,5070
"1062",0,0,17993
"1063",0,0,21452
"1064",0,0,20531
"1065",76.4,94.8551,17721
"1066",0,0,1688
"1067",0,0,5261
"1068",0,0,22218
"1069",122.82,80.7185,12557
"1070",174.82,30.964,13101
"1071",946.43,33.0025,2215
"1072",0,0,19254
"1073",0,0,14952
"1074",0,0,15104
"1075",621.31,27.8629,2249
"1076",0,0,5628
"1077",0,0,19609
"1078",5678.7,3.48974,1599
"1079",0,0,2465
"1080",198.77,18.9449,9709
"1081",41.16,15.6718,17002
"1082",0,0,11690
"1083",0,0,11005
"1084",0,0,18851
"1085",1278.69,0.952631,13970
"1086",0,0,6177
"1087",0,0,9354
"1088",0,0,7639
"1089",0,0,16817
"1090",0,0,11968
"1091",1046.71,52.3042,4634
"1092",0,0,16171
"1093",0,0,14455
"1094",0,0,9871
"1095",663.5,78.9023,780
"1096",20.59,100,20840
"1097",0,0,3022
"1098",42.75,56.7448,14367
"1099",0,0,1313
"1100",0,0,5758
"1101",0,0,18006
"1102",0,0,17851
"1103",2680.6,18.9285,9544
"1104",95.33,52.3655,18489
"1105",0,0,5658
"1106",0,0,7461
"1107",25.21,100,11317
"1108",0,0,9344
"1109",0,0,18533
"1110",0,0,22416
"1111",0,0,15859
"1112",0,0,15337
"1113",0,0,16835
"1114",0,0,15376
"1115",0,0,19655
"1116",1204.53,61.0384,5927
"1117",0,0,20386
"1118",0,0,16224
"1119",0,0,11840
"1120",0,0,6352
"1121",0,0,19600
"1122",0,0,3828
"1123",63.45,69.4221,4991
"1124",730.78,55.7935,4619
"1125",0,0,5503
"1126",0,0,16763
"1127",0,0,12953
"1128",0,0,7033
"1129",0,0,1040
"1130",0,0,17571
"1131",0,0,19214
"1132",0,0,4427
"1133",0,0,11646
"1134",0,0,9352
"1135",0,0,13984
"1136",0,0,1835
"1137",0,0,11354
"1138",232.91,29.8841,2755
"1139",0,0,4137
"1140",0,0,7993
"1141",0,0,13390
"1142",0,0,2522
"1143",0,0,6196
"1144",1785.54,0.104183,1890
"1145",0,0,8413
"1146",0,0,11127
"1147",0,0,14503
"1148",0,0,7992
"1149",0,0,21219
"1150",18.01,100,13635
"1151",0,0,6844
"1152",217.36,52.7533,10250
"1153",0,0,7046
"1154",0,0,7621
"1155",0,0,7696
"1156",5363.26,0.479784,11282
"1157",0,0,10931
"1158",0,0,257
"1159",0,0,23188
"1160",0,0,4077
"1161",28.38,79.7892,6816
"1162",0,0,2173
"1163",0,0,5413
"1164",NA,NA,6877
"1165",0,0,4004
"1166",0,0,18736
"1167",0,0,3020
"1168",0,0,8164
"1169",460.52,11.8811,9581
"1170",51.5,96.6749,19356
"1171",1740.78,37.9282,1388
"1172",39.1,51.811,22727
"1173",1457.15,2.32741,4732
"1174",0,0,6846
"1175",0,0,21312
"1176",0,0,8543
"1177",0,0,19658
"1178",0,0,9687
"1179",0,0,13655
"1180",63.31,34.95,19444
"1181",0,0,21859
"1182",0,0,9446
"1183",0,0,3289
"1184",0,0,14030
"1185",0,0,22142
"1186",305.08,5.62558,14329
"1187",0,0,12731
"1188",0,0,15002
"1189",0,0,3351
"1190",295.08,20.5733,16139
"1191",25.19,100,5778
"1192",0,0,3716
"1193",42.93,100,17384
"1194",1888.89,3.10522,15120
"1195",0,0,4650
"1196",2157.26,4.82129,20043
"1197",96.3,50.8406,5857
"1198",0,0,4523
"1199",0,0,818
"1200",67.43,63.7125,7354
"1201",0,0,19746
"1202",603.77,11.4871,6914
"1203",0,0,12316
"1204",940.11,63.2507,5934
"1205",0,0,19701
"1206",0,0,15549
"1207",0,0,6253
"1208",0,0,14650
"1209",0,0,10324
"1210",29.77,100,14996
"1211",0,0,17524
"1212",0,0,19875
"1213",0,0,23264
"1214",0,0,10620
"1215",0,0,10832
"1216",3694.71,32.5786,5483
"1217",1703.69,22.3709,10114
"1218",0,0,10597
"1219",0,0,8158
"1220",0,0,8146
"1221",0,0,18431
"1222",208.82,58.9816,6849
"1223",0,0,5339
"1224",18.28,100,16580
"1225",0,0,9745
"1226",1196.67,77.6358,6909
